,NO,NAME,CODE,REM,LAST_DONE,LACP,CHG,%CHG,VOL('00),BUY_VOL('00),BUY,SELL,SEL_VOL('00),HIGH,LOW
554,555,NATWIDE [S],9806,s,0.080,0.080,-,-,929,280,0.075,0.085,120,0.080,0.075
555,556,DOLPHIN-WA [S],5265WA,s,0.015,0.015,-,-,904,98,0.015,0.020,850,0.020,0.010
556,557,CAB [S],7174,[c]  s,0.335,0.330,+0.005,+1.52,903,290,0.330,0.335,684,0.335,0.320
557,558,KMLOONG [S],5027,s,1.200,1.200,-,-,902,170,1.180,1.250,220,1.200,1.160
558,559,YSPSAH [S],7178,s,1.980,2.010,-0.030,-1.49,886,157,1.980,1.990,31,2.000,1.900
559,560,BSLCORP [S],7221,s,0.230,0.250,-0.020,-8.00,872,59,0.210,0.230,49,0.230,0.210
560,561,BIOHLDG-WA [S],0179WA,0.045,0.040,+0.005,+12.50,863,347,0.040,0.045,"2,037",0.045,0.035,0179WA
561,562,DAIBOCI [S],8125,s,2.290,2.350,-0.060,-2.55,854,20,2.290,2.330,30,2.320,2.280
562,563,UNIMECH [S],7091,s,1.240,1.240,-,-,840,58,1.240,1.260,67,1.260,1.240
563,564,ULICORP [S],7133,s,0.440,0.440,-,-,835,130,0.425,0.440,560,0.440,0.420
564,565,NYLEX [S],4944,s,0.550,0.550,-,-,817,50,0.540,0.570,168,0.550,0.530
565,566,DANCO [S],5276,[c]  s,0.450,0.455,-0.005,-1.10,779,280,0.440,0.450,821,0.450,0.445
566,567,GOLDETF [S],0828EA,s,2.165,2.245,-0.080,-3.56,775,180,2.160,2.250,26,2.190,2.160
567,568,HIL [S],8443,s,0.560,0.560,-,-,766,358,0.560,0.580,50,0.560,0.560
