,NO,NAME,CODE,REM,LAST_DONE,LACP,CHG,%CHG,VOL('00),BUY_VOL('00),BUY,SELL,SEL_VOL('00),HIGH,LOW
0,1,SAPNRG [S],5218,s,0.160,0.185,-0.025,-13.51,"2,673,640","280,123",0.160,0.165,"38,083",0.175,0.160
1,2,MYEG [S],0138,s,1.200,1.120,+0.080,+7.14,"1,275,778","18,431",1.200,1.210,"11,712",1.280,1.160
2,3,XOX [S],0165,0.035,0.045,-0.010,-22.22,"982,880","273,947",0.030,0.035,"23,607",0.045,0.030,0165
3,4,AVI [S],8885,s,0.160,0.145,+0.015,+10.34,"790,515","706,979",0.155,0.160,"14,361",0.165,0.140
4,5,TIGER [S],7079,s,0.035,0.045,-0.010,-22.22,"741,992","295,538",0.035,0.040,"113,245",0.045,0.035
5,6,THRIVEN [S],7889,s,0.315,0.220,+0.095,+43.18,"696,073","11,784",0.315,0.320,699,0.480,0.280
6,7,DSONIC [S],5216,[c]  s,1.170,1.070,+0.100,+9.35,"667,996","5,706",1.170,1.180,"4,490",1.310,1.110
7,8,DSONIC-WA [S],5216WA,s,0.505,0.415,+0.090,+21.69,"634,547","4,188",0.505,0.510,"6,037",0.540,0.440
8,9,AIRASIA [S],5099,s,1.030,1.000,+0.030,+3.00,"517,955","13,244",1.030,1.050,"1,794",1.060,0.980
9,10,VELESTO [S],5243,s,0.265,0.300,-0.035,-11.67,"484,396","107,801",0.265,0.270,"2,519",0.285,0.250
10,11,THRIVEN-WB [S],7889WB,s,0.085,0.025,+0.060,+240.00,"446,441","6,726",0.085,0.090,"2,700",0.150,0.070
11,12,EKOVEST [S],8877,s,0.615,0.640,-0.025,-3.91,"431,396","1,320",0.615,0.620,150,0.650,0.575
12,13,EDUSPEC [S],0107,0.020,0.020,-,-,"398,427","396,118",0.015,0.020,"447,249",0.025,0.020,0107
13,14,JAKS [S],4723,s,1.290,1.240,+0.050,+4.03,"382,750","2,850",1.280,1.290,"1,484",1.290,1.190
14,15,JAG [S],0024,0.045,0.045,-,-,"378,780","100,662",0.040,0.045,"1,570",0.050,0.040,0024
15,16,IRIS [S],0010,0.130,0.130,-,-,"369,858","18,936",0.130,0.135,"44,716",0.135,0.115,0010
16,17,ALAM [S],5115,s,0.100,0.115,-0.015,-13.04,"343,046","79,258",0.100,0.105,"36,725",0.105,0.095
17,18,ICON [S],5255,s,0.100,0.105,-0.005,-4.76,"300,277","37,881",0.095,0.100,"71,359",0.110,0.095
18,19,AT [S],0072,0.035,0.035,-,-,"297,599","60,510",0.035,0.040,"71,809",0.040,0.030,0072
19,20,FPGROUP [S],5277,s,0.855,0.795,+0.060,+7.55,"289,679","2,062",0.855,0.860,"1,171",0.860,0.770
20,21,PWORTH [S],7123,s,0.020,0.020,-,-,"273,365","1,062,774",0.015,0.020,"33,856",0.025,0.015
21,22,DAYANG [S],5141,s,2.150,2.330,-0.180,-7.73,"222,594",20,2.130,2.150,582,2.300,2.080
22,23,MRCB [S],1651,[c]  s,0.585,0.570,+0.015,+2.63,"208,132","4,892",0.580,0.585,"2,324",0.600,0.580
23,24,JCY [S],5161,s,0.285,0.275,+0.010,+3.64,"197,429","1,080",0.280,0.285,"7,568",0.285,0.265
24,25,RGTECH [S],0202,0.355,0.325,+0.030,+9.23,"184,434","9,822",0.355,0.360,"6,920",0.355,0.315,0202
25,26,KRONO [S],0176,0.665,0.635,+0.030,+4.72,"175,720","1,368",0.665,0.670,"2,625",0.665,0.610,0176
26,27,PUC [S],0007,0.035,0.040,-0.005,-12.50,"169,959","178,162",0.030,0.035,"19,266",0.040,0.030,0007
27,28,NOTION [S],0083,s,1.050,0.990,+0.060,+6.06,"168,666",119,1.050,1.060,"4,139",1.050,0.945
28,29,GAMUDA [S],5398,s,3.190,3.310,-0.120,-3.63,"166,684","10,620",3.190,3.200,100,3.250,3.170
29,30,INARI [S],0166,[c]  s,1.410,1.410,-,-,"163,638",420,1.410,1.420,928,1.450,1.380
30,31,AAX [S],5238,s,0.095,0.105,-0.010,-9.52,"161,400","88,371",0.095,0.100,"23,225",0.105,0.095
31,32,TECHBND-WA [S],5289WA,s,0.235,-,+0.125,+113.64,"150,803","1,726",0.230,0.235,"1,012",0.295,0.155
32,33,KANGER [S],0170,0.120,0.115,+0.005,+4.35,"147,146","36,145",0.115,0.120,"76,676",0.120,0.105,0170
33,34,SAPNRG-WA [S],5218WA,s,0.075,0.075,-,-,"141,922","62,527",0.070,0.075,"35,168",0.075,0.070
34,35,MCLEAN [S],0167,0.370,0.360,+0.010,+2.78,"140,376","2,000",0.365,0.370,"20,200",0.375,0.330,0167
35,36,OMESTI [S],9008,s,0.640,0.615,+0.025,+4.07,"128,316",894,0.640,0.645,"1,150",0.640,0.575
36,37,OPENSYS [S],0040,[c],0.405,0.390,+0.015,+3.85,"125,201","2,020",0.400,0.405,31,0.410,0.370
37,38,ALAM-WA [S],5115WA,s,0.040,0.040,-,-,"125,123","136,872",0.035,0.040,"63,232",0.040,0.035
38,39,DGB [S],0152,0.050,0.050,-,-,"124,353","92,361",0.040,0.045,"1,999",0.050,0.040,0152
39,40,UWC [S],5292,s,2.740,2.570,+0.170,+6.61,"120,293",138,2.730,2.740,"2,503",2.770,2.430
40,41,VIVOCOM [S],0069,0.020,0.020,-,-,"119,432","245,219",0.020,0.025,"1,209,771",0.025,0.020,0069
41,42,SLVEST [S],0215,1.120,1.140,-0.020,-1.75,"117,234",775,1.120,1.130,480,1.180,1.080,0215
42,43,MEDIAC [S],5090,s,0.205,0.200,+0.005,+2.50,"111,175","1,630",0.200,0.205,329,0.215,0.195
43,44,YONGTAI [S],7066,s,0.090,0.095,-0.005,-5.26,"110,954",350,0.085,0.090,"15,180",0.090,0.080
44,45,APFT [S],5194,s,0.005,0.005,-,-,"109,868",-,-,0.005,"29,339",0.005,0.005
45,46,HUAAN [S],2739,s,0.075,0.085,-0.010,-11.76,"106,102","7,832",0.070,0.075,"11,272",0.075,0.060
46,47,PDZ [S],6254,s,0.020,0.025,-0.005,-20.00,"105,615","48,167",0.020,0.025,"149,975",0.025,0.015
47,48,MI [S],5286,[c]  s,2.800,2.680,+0.120,+4.48,"103,463","1,673",2.800,2.810,20,2.800,2.580
48,49,WIDAD [S],0162,s,0.505,0.505,-,-,"100,565","2,280",0.495,0.505,"5,671",0.505,0.495
49,50,MASTER [S],7029,s,1.910,2.720,-0.810,-29.78,"98,938",5,1.920,1.910,"25,277",2.260,1.910
50,51,DESTINI [S],7212,s,0.170,0.180,-0.010,-5.56,"98,213","2,301",0.170,0.175,"1,504",0.195,0.165
51,52,PERDANA [S],7108,s,0.360,0.365,-0.005,-1.37,"97,944",10,0.360,0.365,460,0.365,0.335
52,53,ORION [S],0079,0.070,0.075,-0.005,-6.67,"97,421","57,909",0.060,0.065,"2,000",0.070,0.060,0079
53,54,ICON-WA [S],5255WA,s,0.055,0.060,-0.005,-8.33,"93,589","216,884",0.050,0.055,"3,496",0.060,0.055
54,55,GDB [S],0198,[c],0.680,0.635,+0.045,+7.09,"93,451","1,299",0.675,0.680,221,0.680,0.610
55,56,ISTONE [S],0209,0.190,0.195,-0.005,-2.56,"92,844","24,809",0.190,0.195,700,0.200,0.185,0209
56,57,KEYASIC [S],0143,s,0.040,0.040,-,-,"92,694","23,767",0.035,0.040,"16,386",0.040,0.030
57,58,SIMEPLT [S],5285,[c]  s,4.730,4.960,-0.230,-4.64,"92,205",516,4.720,4.730,2,4.950,4.710
58,59,TENAGA [S],5347,s,12.500,12.100,+0.400,+3.31,"91,366","1,061",12.500,12.560,148,12.680,12.240
59,60,GAMUDA-WE [S],5398WE,s,0.245,0.295,-0.050,-16.95,"90,731",915,0.245,0.255,228,0.270,0.240
60,61,TDEX [S],0132,0.055,0.055,-,-,"90,038","6,000",0.050,0.055,"5,542",0.055,0.055,0132
61,62,BINACOM [S],0195,0.435,0.425,+0.010,+2.35,"89,823",400,0.430,0.435,931,0.440,0.400,0195
62,63,THHEAVY [S],7206,s,0.115,0.120,-0.005,-4.17,"88,577","34,632",0.110,0.115,"5,663",0.115,0.105
63,64,FGV [S],5222,s,1.150,1.140,+0.010,+0.88,"87,552","2,729",1.150,1.160,350,1.200,1.130
64,65,CAREPLS [S],0163,0.225,0.235,-0.010,-4.26,"86,012","7,044",0.225,0.230,"5,210",0.240,0.220,0163
65,66,HARTA [S],5168,[c]  s,6.060,6.200,-0.140,-2.26,"83,977","1,398",6.060,6.080,67,6.180,6.010
66,67,DBE [S],7179,s,0.030,0.030,-,-,"83,520","304,815",0.025,0.030,"301,221",0.030,0.030
67,68,ECONBHD [S],5253,s,0.685,0.660,+0.025,+3.79,"83,161",100,0.680,0.685,346,0.705,0.630
68,69,HUBLINE [S],7013,s,0.045,0.045,-,-,"82,231","82,669",0.040,0.045,"50,851",0.045,0.040
69,70,HIBISCS [S],5199,s,0.740,0.750,-0.010,-1.33,"80,778",550,0.735,0.740,44,0.745,0.715
70,71,PCHEM [S],5183,[c]  s,5.210,5.400,-0.190,-3.52,"80,344",380,5.200,5.210,117,5.400,5.100
71,72,TOPGLOV [S],7113,s,5.600,5.640,-0.040,-0.71,"80,107",384,5.600,5.610,"1,530",5.700,5.490
72,73,DIALOG [S],7277,s,3.290,3.340,-0.050,-1.50,"79,965","3,699",3.290,3.300,850,3.380,3.260
73,74,PTRANS [S],0186,s,0.200,0.200,-,-,"76,269","10,892",0.200,0.205,"19,176",0.205,0.195
74,75,SEACERA-WC [S],7073WC,s,0.015,0.015,-,-,"76,055",200,0.010,0.015,"4,700",0.015,0.005
75,76,TRIVE [S],0118,s,0.010,0.005,+0.005,+100.00,"75,587","1,399,218",0.005,0.010,"325,782",0.010,0.005
76,77,IHH [S],5225,[c]  s,5.680,5.700,-0.020,-0.35,"73,404","6,145",5.680,5.700,900,5.730,5.600
77,78,SERBADK-WA [S],5279WA,s,0.335,0.340,-0.005,-1.47,"72,325",350,0.335,0.340,"2,241",0.345,0.325
78,79,VS [S],6963,s,1.210,1.280,-0.070,-5.47,"71,864",558,1.210,1.220,"2,420",1.250,1.200
79,80,IWCITY [S],1589,s,0.645,0.630,+0.015,+2.38,"71,751",350,0.640,0.645,64,0.665,0.600
80,81,ANZO [S],9342,s,0.015,0.015,-,-,"71,548","260,263",0.010,0.015,"63,678",0.015,0.015
81,82,VIS [S],0120,[c],0.590,0.535,+0.055,+10.28,"70,747",717,0.585,0.590,188,0.595,0.510
82,83,NOVAMSC [S],0026,0.040,0.040,-,-,"68,484","16,093",0.040,0.045,"52,440",0.040,0.035,0026
83,84,OPCOM [S],0035,0.460,0.540,-0.080,-14.81,"68,111",158,0.460,0.465,50,0.470,0.410,0035
84,85,REACH [S],5256,s,0.110,0.130,-0.020,-15.38,"65,274","33,827",0.105,0.110,"3,387",0.115,0.105
85,86,SUNWAY [S],5211,s,1.710,1.770,-0.060,-3.39,"64,888","7,422",1.710,1.720,"2,196",1.750,1.710
86,87,SERBADK [S],5279,[c]  s,2.170,2.200,-0.030,-1.36,"63,228","2,099",2.170,2.180,"3,775",2.270,2.130
87,88,REVENUE [S],0200,1.240,1.250,-0.010,-0.80,"62,246",718,1.230,1.240,25,1.270,1.200,0200
88,89,ROHAS [S],9741,s,0.495,0.550,-0.055,-10.00,"61,683",2,0.495,0.500,755,0.510,0.485
89,90,PRESBHD [S],5204,s,0.350,0.320,+0.030,+9.38,"59,491","2,034",0.350,0.355,"2,703",0.380,0.325
90,91,BAHVEST [S],0098,s,0.445,0.455,-0.010,-2.20,"59,388",137,0.440,0.445,344,0.445,0.400
91,92,SUPERMX [S],7106,s,1.590,1.590,-,-,"58,401","1,039",1.570,1.590,463,1.610,1.550
92,93,JTIASA [S],4383,s,0.525,0.565,-0.040,-7.08,"57,602",884,0.525,0.530,713,0.545,0.515
93,94,INNATURE [S],5295,[c]  s,0.540,0.545,-0.005,-0.92,"56,868",103,0.540,0.545,665,0.550,0.520
94,95,SCBUILD [S],0109,0.025,0.025,-,-,"56,741","36,351",0.015,0.025,"21,634",0.025,0.015,0109
95,96,MTAG [S],0213,0.460,0.450,+0.010,+2.22,"56,645",29,0.460,0.465,"1,250",0.460,0.440,0213
96,97,PANSAR [S],8419,s,0.645,0.640,+0.005,+0.78,"55,649",18,0.645,0.650,20,0.665,0.630
97,98,SOLID-WA [S],5242WA,s,0.110,0.090,+0.020,+22.22,"54,668","5,200",0.105,0.110,"14,756",0.110,0.090
98,99,PMHLDG [S],1287,s,0.085,0.110,-0.025,-22.73,"54,150","1,410",0.085,0.090,"1,998",0.100,0.085
99,100,GREATEC [S],0208,3.390,3.230,+0.160,+4.95,"53,461",997,3.390,3.400,693,3.400,3.110,0208
100,101,PA [S],7225,s,0.060,0.060,-,-,"52,927","48,478",0.055,0.060,"58,159",0.060,0.055
101,102,IJM [S],3336,s,1.860,1.940,-0.080,-4.12,"52,690","5,643",1.860,1.870,456,1.940,1.860
102,103,MINETEC [S],7219,s,0.125,0.125,-,-,"52,550","65,911",0.120,0.125,"103,192",0.125,0.120
103,104,AXIATA [S],6888,s,4.060,4.180,-0.120,-2.87,"52,474","2,313",4.060,4.070,500,4.150,4.010
104,105,SPSETIA [S],8664,[c]  s,1.200,1.270,-0.070,-5.51,"51,607","10,201",1.200,1.210,"1,534",1.260,1.200
105,106,T7GLOBAL [S],7228,s,0.435,0.415,+0.020,+4.82,"50,506","1,123",0.425,0.435,"3,753",0.435,0.395
106,107,MERIDIAN [S],5040,s,0.075,0.085,-0.010,-11.76,"50,135","14,111",0.070,0.075,"9,502",0.080,0.070
107,108,FRONTKN [S],0128,[c]  s,2.290,2.270,+0.020,+0.88,"48,792",154,2.290,2.300,"9,636",2.330,2.230
108,109,VIZIONE [S],7070,s,0.680,0.720,-0.040,-5.56,"48,762",160,0.675,0.680,"10,684",0.710,0.665
109,110,XINHWA [S],5267,s,0.615,0.615,-,-,"48,761",109,0.615,0.620,560,0.625,0.535
110,111,REVENUE-WA [S],0200WA,0.615,0.615,-,-,"48,667",755,0.615,0.620,150,0.630,0.575,0200WA
111,112,DIGI [S],6947,[x]  s,4.060,4.160,-0.100,-2.40,"48,612","10,479",4.060,4.070,5,4.160,4.020
112,113,NAIM [S],5073,s,1.030,1.050,-0.020,-1.90,"46,638",298,1.020,1.030,275,1.080,0.990
113,114,RSAWIT [S],5113,s,0.230,0.235,-0.005,-2.13,"46,170","1,500",0.225,0.230,"9,887",0.230,0.220
114,115,IOICORP [S],1961,[c]  s,4.190,4.170,+0.020,+0.48,"46,058",149,4.180,4.190,154,4.250,4.100
115,116,REACH-WA [S],5256WA,s,0.020,0.025,-0.005,-20.00,"45,662","93,318",0.020,0.025,"64,966",0.025,0.020
116,117,AZRB [S],7078,s,0.280,0.280,-,-,"45,427",536,0.275,0.280,"1,954",0.320,0.275
117,118,GFM [S],0039,0.175,0.200,-0.025,-12.50,"44,845",250,0.170,0.175,240,0.185,0.150,0039
118,119,GKENT [S],3204,s,0.865,0.820,+0.045,+5.49,"43,757",369,0.865,0.870,300,0.920,0.840
119,120,VIS-WB [S],0120WB,0.315,0.265,+0.050,+18.87,"43,657","1,816",0.315,0.320,380,0.315,0.245,0120WB
120,121,IOIPG [S],5249,s,0.985,1.010,-0.025,-2.48,"43,589","7,954",0.985,0.990,500,1.020,0.950
121,122,SKPRES [S],7155,s,1.270,1.330,-0.060,-4.51,"43,391","1,185",1.270,1.280,333,1.320,1.260
122,123,KGROUP [S],0036,0.030,0.030,-,-,"42,604","19,040",0.025,0.030,"12,891",0.030,0.020,0036
123,124,PELIKAN [S],5231,s,0.400,0.405,-0.005,-1.23,"42,421",652,0.400,0.405,232,0.415,0.380
124,125,MISC [S],3816,[x]  s,7.360,7.470,-0.110,-1.47,"41,990","2,095",7.360,7.370,1,7.430,7.180
125,126,WCT-WE [S],9679WE,s,0.010,0.010,-,-,"39,972","130,192",0.005,0.010,"35,707",0.010,0.010
126,127,ARBB [S],7181,s,0.225,0.235,-0.010,-4.26,"39,937","8,539",0.220,0.225,"7,630",0.230,0.215
127,128,WIDAD-WA [S],0162WA,0.190,0.195,-0.005,-2.56,"39,723",240,0.185,0.190,"4,140",0.195,0.180,0162WA
128,129,PERMAJU [S],7080,s,0.810,0.815,-0.005,-0.61,"39,041","1,200",0.800,0.810,"1,089",0.830,0.805
129,130,OCNCASH [S],0049,s,0.445,0.445,-,-,"39,040",83,0.445,0.450,240,0.465,0.430
130,131,DNEX [S],4456,s,0.215,0.215,-,-,"38,802","7,804",0.210,0.215,"7,694",0.215,0.205
131,132,CMSB [S],2852,s,2.050,1.910,+0.140,+7.33,"38,448",309,2.050,2.060,130,2.070,1.880
132,133,KHEESAN [S],6203,s,0.375,0.340,+0.035,+10.29,"38,093",487,0.370,0.375,"2,470",0.400,0.340
133,134,PPHB [S],8273,[c]  s,0.725,0.740,-0.015,-2.03,"37,886",351,0.715,0.725,"1,002",0.735,0.690
134,135,GCB [S],5102,s,2.630,2.510,+0.120,+4.78,"37,813",22,2.630,2.640,50,2.670,2.420
135,136,PA-WB [S],7225WB,s,0.030,0.035,-0.005,-14.29,"37,044","30,326",0.030,0.035,"39,676",0.030,0.030
136,137,WPRTS [S],5246,s,3.320,3.440,-0.120,-3.49,"36,827",204,3.320,3.380,84,3.480,3.300
137,138,NEXGRAM [S],0096,0.010,0.010,-,-,"36,249","959,228",0.005,0.010,"24,866",0.010,0.010,0096
138,139,PARAMON [S],1724,[c]  s,1.400,1.290,+0.110,+8.53,"36,114",171,1.390,1.400,738,1.410,1.330
139,140,KUB [S],6874,s,0.335,0.310,+0.025,+8.06,"35,551",946,0.330,0.340,640,0.360,0.310
140,141,AGES [S],7145,s,0.085,0.090,-0.005,-5.56,"35,282","42,604",0.085,0.090,"15,633",0.090,0.085
141,142,DUFU [S],7233,s,4.250,4.270,-0.020,-0.47,"34,682",1,4.250,4.260,300,4.280,4.070
142,143,ECOWLD [S],8206,s,0.640,0.635,+0.005,+0.79,"33,956","1,699",0.635,0.640,"3,000",0.640,0.615
143,144,DNEX-WD [S],4456WD,s,0.025,0.025,-,-,"33,261","36,841",0.020,0.025,"64,968",0.025,0.020
144,145,BORNOIL-WC [S],7036WC,s,0.015,0.015,-,-,"33,001","4,143",0.010,0.015,"95,490",0.015,0.010
145,146,LAYHONG [S],9385,s,0.365,0.370,-0.005,-1.35,"32,999",832,0.365,0.370,"2,685",0.370,0.350
146,147,BORNOIL [S],7036,s,0.040,0.040,-,-,"32,765","552,327",0.035,0.040,"151,411",0.040,0.035
147,148,IMPIANA [S],7243,s,0.105,0.100,+0.005,+5.00,"32,704","4,527",0.100,0.105,"7,148",0.105,0.095
148,149,YONGTAI-WA [S],7066WA,s,0.005,0.005,-,-,"32,499","19,748",0.005,0.010,"14,311",0.005,0.005
149,150,EDUSPEC-WB [S],0107WB,0.010,0.015,-0.005,-33.33,"32,000","216,486",0.010,0.015,"89,688",0.015,0.010,0107WB
150,151,VC [S],0060,0.060,0.065,-0.005,-7.69,"31,824","4,216",0.060,0.065,"20,175",0.060,0.055,0060
151,152,SIME [S],4197,[c]  s,1.960,2.000,-0.040,-2.00,"31,352",887,1.960,1.970,250,2.020,1.950
152,153,JADI [S],7223,s,0.045,0.050,-0.005,-10.00,"31,140","68,600",0.040,0.045,"16,360",0.050,0.045
153,154,MUHIBAH [S],5703,s,1.380,1.620,-0.240,-14.81,"30,526","1,582",1.380,1.390,20,1.520,1.380
154,155,MTRONIC [S],0043,s,0.035,0.035,-,-,"30,347","75,899",0.030,0.035,"41,386",0.035,0.030
155,156,RUBEREX [S],7803,s,0.740,0.730,+0.010,+1.37,"29,913",563,0.740,0.750,"1,250",0.755,0.710
156,157,D&O [S],7204,s,0.705,0.705,-,-,"29,793",5,0.705,0.710,258,0.710,0.660
157,158,CARIMIN [S],5257,[c]  s,1.040,1.100,-0.060,-5.45,"29,766",272,1.040,1.050,350,1.060,1.030
158,159,GDEX [S],0078,s,0.200,0.210,-0.010,-4.76,"29,736","12,250",0.195,0.200,26,0.205,0.195
159,160,DOLPHIN [S],5265,s,0.075,0.075,-,-,"29,730","21,808",0.070,0.075,"2,837",0.075,0.070
160,161,BIOHLDG [S],0179,0.140,0.150,-0.010,-6.67,"29,698","6,775",0.135,0.140,"1,796",0.145,0.135,0179
161,162,DATAPRP [S],8338,s,0.160,0.165,-0.005,-3.03,"29,438","11,822",0.150,0.160,"2,188",0.160,0.150
162,163,BAHVEST-WA [S],0098WA,0.285,0.285,-,-,"29,430",700,0.285,0.290,820,0.285,0.265,0098WA
163,164,DGSB [S],0131,0.080,0.080,-,-,"28,858","11,343",0.080,0.085,"17,719",0.085,0.080,0131
164,165,MELEWAR [S],3778,s,0.220,0.220,-,-,"28,719","2,200",0.215,0.220,"2,176",0.220,0.205
165,166,MUIPROP [S],3913,s,0.190,0.200,-0.010,-5.00,"28,418",315,0.190,0.195,"3,291",0.200,0.180
166,167,PMETAL [S],8869,[c]  s,4.650,4.660,-0.010,-0.21,"28,118",777,4.650,4.670,71,4.690,4.600
167,168,SRIDGE [S],0129,0.370,0.365,+0.005,+1.37,"27,927","3,090",0.365,0.370,"2,487",0.370,0.365,0129
168,169,QES [S],0196,0.165,0.165,-,-,"27,042","2,240",0.165,0.170,"6,150",0.165,0.160,0196
169,170,EFORCE [S],0065,s,0.405,0.400,+0.005,+1.25,"26,745","4,732",0.400,0.405,8,0.435,0.395
170,171,SEDANIA [S],0178,0.165,0.155,+0.010,+6.45,"26,498","10,532",0.155,0.165,"2,803",0.165,0.150,0178
171,172,UZMA [S],7250,s,0.680,0.705,-0.025,-3.55,"26,090",65,0.675,0.680,453,0.695,0.655
172,173,OCR [S],7071,s,0.250,0.250,-,-,"25,977","2,825",0.245,0.250,"1,666",0.250,0.245
173,174,EG [S],8907,s,0.295,0.305,-0.010,-3.28,"25,659","5,491",0.290,0.300,650,0.300,0.285
174,175,MCT [S],5182,s,0.215,0.215,-,-,"25,168","6,424",0.215,0.220,"2,878",0.220,0.210
175,176,ICONIC [S],9113,s,0.315,0.320,-0.005,-1.56,"25,018",318,0.310,0.315,"5,447",0.320,0.305
176,177,TM [S],4863,[c]  s,3.670,3.700,-0.030,-0.81,"24,976",466,3.670,3.710,20,3.720,3.520
177,178,DNONCE [S],7114,s,0.220,0.205,+0.015,+7.32,"24,950","1,128",0.220,0.225,"1,263",0.235,0.205
178,179,VELESTO-WA [S],5243WA,s,0.090,0.090,-,-,"24,909","7,600",0.085,0.090,"11,312",0.090,0.080
179,180,FITTERS [S],9318,s,0.325,0.325,-,-,"24,496",250,0.325,0.330,"2,090",0.330,0.315
180,181,IKHMAS [S],5268,s,0.060,0.070,-0.010,-14.29,"24,458","13,661",0.060,0.065,"2,794",0.070,0.060
181,182,UMW [S],4588,[c]  s,3.110,3.160,-0.050,-1.58,"23,979",20,3.050,3.110,164,3.160,2.950
182,183,PTRANS-WA [S],0186WA,s,0.010,0.015,-0.005,-33.33,"23,430","62,290",0.010,0.015,"60,920",0.015,0.010
183,184,MALTON [S],6181,s,0.400,0.400,-,-,"23,331",507,0.390,0.400,"2,994",0.405,0.380
184,185,EURO [S],7208,s,0.200,0.200,-,-,"23,209","170,638",0.195,0.200,100,0.200,0.195
185,186,TECHBND [S],5289,s,0.820,0.870,-0.050,-5.75,"22,742",470,0.820,0.825,135,0.880,0.820
186,187,COMFORT [S],2127,s,0.830,0.820,+0.010,+1.22,"22,735",44,0.825,0.830,80,0.835,0.810
187,188,KAB [S],0193,0.745,0.750,-0.005,-0.67,"22,500",100,0.740,0.745,770,0.780,0.720,0193
188,189,MAXIS [S],6012,[c]  s,5.450,5.430,+0.020,+0.37,"22,435",331,5.430,5.450,"1,000",5.510,5.410
189,190,NOTION-WC [S],0083WC,s,0.660,0.605,+0.055,+9.09,"22,189","1,147",0.660,0.665,350,0.665,0.585
190,191,K1 [S],0111,0.190,0.190,-,-,"22,059",84,0.190,0.195,"2,671",0.195,0.170,0111
191,192,KPJ [S],5878,[c]  s,0.970,0.970,-,-,"21,873",931,0.960,0.970,"16,651",0.970,0.955
192,193,MALAKOF [S],5264,s,0.875,0.870,+0.005,+0.57,"21,808","2,260",0.870,0.875,236,0.880,0.850
193,194,STAR [S],6084,[c]  s,0.395,0.375,+0.020,+5.33,"21,803","1,241",0.390,0.395,"1,000",0.420,0.390
194,195,LUXCHEM [S],5143,[c]  s,0.505,0.515,-0.010,-1.94,"21,392",200,0.500,0.505,150,0.505,0.490
195,196,SUCCESS [S],7207,s,0.710,0.700,+0.010,+1.43,"21,100",2,0.710,0.715,200,0.715,0.695
196,197,KOMARK [S],7017,s,0.220,0.205,+0.015,+7.32,"20,796","1,050",0.215,0.220,"3,882",0.220,0.200
197,198,LKL [S],0182,0.150,0.145,+0.005,+3.45,"20,761","6,354",0.145,0.150,"2,749",0.150,0.135,0182
198,199,SALCON [S],8567,s,0.190,0.195,-0.005,-2.56,"20,624","13,700",0.190,0.195,"9,146",0.195,0.190
199,200,BRAHIMS [S],9474,s,0.215,0.260,-0.045,-17.31,"20,248",183,0.215,0.220,988,0.240,0.205
200,201,LYC [S],0075,0.230,0.245,-0.015,-6.12,"20,197",500,0.225,0.230,118,0.245,0.220,0075
201,202,HIBISCS-WC [S],5199WC,s,0.125,0.140,-0.015,-10.71,"20,021","1,403",0.125,0.130,"1,838",0.130,0.110
202,203,DRBHCOM [S],1619,s,2.140,2.220,-0.080,-3.60,"19,893","4,962",2.140,2.150,301,2.210,2.070
203,204,SOLID [S],5242,s,0.335,0.325,+0.010,+3.08,"19,842","3,567",0.335,0.340,"3,631",0.340,0.305
204,205,GTRONIC [S],7022,[c]  s,2.090,2.080,+0.010,+0.48,"19,538",258,2.090,2.130,194,2.140,2.020
205,206,MFCB [S],3069,s,5.050,5.120,-0.070,-1.37,"19,491",20,5.050,5.090,214,5.100,4.840
206,207,KOSSAN [S],7153,s,4.800,4.800,-,-,"19,437",50,4.760,4.800,"2,363",4.860,4.660
207,208,UEMS [S],5148,s,0.575,0.590,-0.015,-2.54,"19,409",16,0.575,0.585,316,0.610,0.565
208,209,DGB-WB [S],0152WB,0.005,0.010,-0.005,-50.00,"19,360",-,-,0.005,"22,842",0.005,0.005,0152WB
209,210,GFM-WC [S],0039WC,0.040,0.045,-0.005,-11.11,"19,277","8,105",0.035,0.040,"5,841",0.040,0.035,0039WC
210,211,SALUTE [S],0183,[c]  s,0.675,0.645,+0.030,+4.65,"19,227",194,0.670,0.675,585,0.680,0.610
211,212,SIMEPROP [S],5288,[c]  s,0.750,0.775,-0.025,-3.23,"19,051","6,747",0.750,0.755,806,0.760,0.745
212,213,EG-WC [S],8907WC,s,0.035,0.035,-,-,"18,973","2,000",0.030,0.035,848,0.040,0.030
213,214,WCT [S],9679,s,0.665,0.650,+0.015,+2.31,"18,520",50,0.660,0.665,866,0.685,0.630
214,215,DWL [S],7165,s,0.325,0.315,+0.010,+3.17,"18,441",120,0.310,0.330,800,0.345,0.255
215,216,POHKONG [S],5080,s,0.505,0.520,-0.015,-2.88,"18,398",27,0.505,0.510,670,0.520,0.480
216,217,GHLSYS [S],0021,s,1.590,1.610,-0.020,-1.24,"18,221",8,1.590,1.600,60,1.600,1.530
217,218,AXREIT [S],5106,s,1.980,1.930,+0.050,+2.59,"17,890",253,1.950,1.980,"1,328",1.980,1.900
218,219,TALIWRK [S],8524,[c]  s,0.820,0.830,-0.010,-1.20,"17,563",252,0.810,0.820,"4,070",0.850,0.810
219,220,PHB [S],4464,s,0.005,0.005,-,-,"17,525","2,462,629",0.005,0.010,"2,052,519",0.010,0.005
220,221,GADANG [S],9261,s,0.560,0.570,-0.010,-1.75,"17,390",600,0.560,0.565,187,0.570,0.545
221,222,MMSV [S],0113,[c]  s,0.700,0.690,+0.010,+1.45,"17,305",189,0.690,0.700,247,0.710,0.670
